Date,Service,Departure station,Arrival station,Average journey time,Number of scheduled trains,Number of cancelled trains,Number of trains delayed at departure,Average delay of late trains at departure,Average delay of all trains at departure,Number of trains delayed at arrival,Average delay of late trains at arrival,Average delay of all trains at arrival,Number of trains delayed > 15min,Average delay of trains > 15min (if competing with flights),Number of trains delayed > 30min,Number of trains delayed > 60min,Pct delay due to external causes,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to rolling stock,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)",Pct of delay train
2024-08-01,National,PARIS EST,STRASBOURG,118.0,489.0,2.0,53.0,10.32924528,1.122108145,30.0,345.3266769288485,1.894147844,22.0,32.88409091,4.0,2.0,6.666666670000001,6.666666670000001,16.666666669999998,56.66666667,3.33333333,10.0,10.882956878850102
2024-07-01,National,QUIMPER,PARIS MONTPARNASSE,232.0,286.0,7.0,16.0,33.271875,1.93032491,31.0,73.17311828,8.167569194,31.0,73.17311828,20.0,12.0,58.06451613,19.35483871,9.67741935,9.67741935,0.0,3.2258064500000003,5.734767025089606
2024-07-01,National,TOULON,PARIS LYON,238.0,352.0,9.0,171.0,16.56890838,8.218957115,79.0,52.81202532,12.56267057,79.0,52.81202532,55.0,26.0,31.645569620000003,34.17721519,16.4556962,10.12658228,3.79746835,3.79746835,49.85422740524781
2024-07-01,National,PARIS MONTPARNASSE,TOURS,76.0,149.0,9.0,9.0,9.72037037,0.282976191,9.0,345.3266769288485,1.510119048,4.0,34.38333333,2.0,0.0,11.11111111,33.333333329999995,22.222222220000003,33.333333329999995,0.0,0.0,6.428571428571428
2024-07-01,National,MULHOUSE VILLE,PARIS LYON,169.0,337.0,8.0,148.0,6.88018018,3.140729483,46.0,51.8615942,7.505015197599999,36.0,62.62824074,26.0,16.0,10.86956522,34.7826087,30.43478261,21.73913043,0.0,2.17391304,44.984802431610944
2024-07-01,National,POITIERS,PARIS MONTPARNASSE,96.0,498.0,17.0,199.0,15.45670017,6.268052668099999,86.0,45.78992248,8.738392238,49.0,72.90408163,28.0,17.0,26.744186050000003,17.44186047,18.60465116,8.139534880000001,6.976744190000001,22.09302326,41.37214137214137
2024-07-01,National,LYON PART DIEU,MARNE LA VALLEE,107.0,381.0,16.0,269.0,18.85960347,13.95383562,103.0,50.40906149,15.35840183,72.0,66.55162037,45.0,31.0,14.5631068,13.59223301,30.09708738,24.27184466,7.766990290000001,9.70873786,73.6986301369863
2024-07-01,National,PARIS LYON,MULHOUSE VILLE,168.0,328.0,8.0,34.0,25.8877451,30.62165761769024,44.0,55.95454546,8.23234375,38.0,62.47807018,30.0,14.0,13.63636364,27.27272727,27.27272727,15.909090910000002,11.36363636,4.5454545500000005,10.625
2024-06-01,National,RENNES,PARIS MONTPARNASSE,101.0,805.0,3.0,273.0,9.515262515,3.242655015,81.0,34.9537037,3.689450687,53.0,46.57295598,29.0,10.0,17.28395062,35.80246914,16.04938272,16.04938272,8.64197531,6.17283951,34.03990024937656
2024-06-01,National,METZ,PARIS EST,87.0,311.0,0.0,93.0,11.06827957,3.321489818,56.0,23.83095238,4.734994641,24.0,41.35416667,10.0,7.0,7.14285714,10.71428571,35.71428571,19.64285714,25.0,1.78571429,29.903536977491964
2024-06-01,National,QUIMPER,PARIS MONTPARNASSE,235.0,265.0,2.0,16.0,13.58541667,0.871072797,20.0,44.5175,3.122541507,20.0,44.5175,13.0,2.0,30.0,25.0,5.0,15.0,20.0,5.0,6.083650190114068
2024-06-01,National,NANCY,PARIS EST,96.0,289.0,0.0,68.0,10.94705882,2.668454441,32.0,29.6109375,4.420876586,23.0,37.34710145,6.0,1.0,0.0,37.5,25.0,25.0,6.25,6.25,23.52941176470588
2024-06-01,National,PARIS LYON,NICE VILLE,342.0,223.0,0.0,29.0,10.4954023,1.075411061,39.0,39.08034188,9.045216741,39.0,39.08034188,19.0,4.0,12.82051282,43.589743590000005,10.25641026,10.25641026,5.12820513,17.948717950000002,13.004484304932735
2024-06-01,International,PARIS LYON,ZURICH,245.0,148.0,1.0,22.0,13.71742424,1.923129252,22.0,37.15984849,6.894104308,22.0,37.15984849,11.0,3.0,20.0,20.0,30.0,10.0,5.0,15.0,14.965986394557824
2024-06-01,National,MARSEILLE ET CHARLES,PARIS LYON,196.0,535.0,2.0,143.0,12.32179487,3.115853659,83.0,32.87610442,7.168073796,83.0,32.87610442,36.0,7.0,8.433734939999999,31.3253012,26.5060241,20.481927710000004,4.819277110000001,8.433734939999999,26.82926829268293
2024-06-01,National,PARIS LYON,LYON PART DIEU,119.0,694.0,0.0,57.0,17.22280702,1.172478386,58.0,34.94339081,3.3113592699000005,46.0,346.4742866898222,26.0,6.0,8.62068966,24.13793103,20.68965517,27.5862069,12.06896552,6.896551720000001,8.213256484149856
2024-06-01,National,PARIS NORD,DUNKERQUE,129.0,184.0,5.0,14.0,118.28872062060988,0.98603352,17.0,34.97058824,3.416201117,16.0,36.34375,8.0,1.0,17.64705882,29.41176471,11.76470588,17.64705882,17.64705882,5.88235294,7.82122905027933
2024-06-01,National,PARIS LYON,MONTPELLIER,211.0,282.0,2.0,33.0,11.63484849,0.809940476,38.0,30.80614035,6.319226191,38.0,30.80614035,16.0,2.0,10.52631579,34.21052632,13.15789474,31.57894737,10.52631579,0.0,11.785714285714285
